,エンタメ,スポーツ,おもしろ,国内,海外,コラム,IT・科学,グルメ
,-5.82681917532697,-5.635905052253115,-7.271008538280992,-7.184123591533645,-7.830425617820331,-8.242493153187626,-7.933796874815411,-7.864419904994565
中澤,-8.717190933223135,-8.408493774492896,-7.676473646389156,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
空似,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
見据える,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.528331766707247,-8.55756708555451
NANAKA,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
採れる,-8.717190933223135,-8.408493774492896,-7.676473646389156,-7.589588699641809,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
ます,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-7.837028045079461,-8.626944055375356,-8.55756708555451
昨日,-8.717190933223135,-8.408493774492896,-8.369620826949102,-7.184123591533645,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
おう吐,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
テレビ,-6.1522415757615985,-5.923587124704897,-6.577861357721047,-7.589588699641809,-6.914134885946176,-7.837028045079461,-6.229048782576986,-6.94812917312041
勇気づける,-8.717190933223135,-8.408493774492896,-8.369620826949102,-7.589588699641809,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
Pepe,-8.717190933223135,-7.715346593932951,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
宮城県登米市,-8.717190933223135,-7.715346593932951,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
ＪＷ,-8.717190933223135,-7.715346593932951,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
味方,-8.02404375266319,-8.408493774492896,-7.271008538280992,-8.282735880201754,-8.523572798380277,-7.837028045079461,-7.528331766707247,-7.458954796886401
宇都宮,-7.107753020789034,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.864419904994565
梱包,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.864419904994565
化粧水,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-6.633055240753525,-8.626944055375356,-8.55756708555451
常備,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-7.864419904994565
コルクボード,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
出現,-7.107753020789034,-7.715346593932951,-8.369620826949102,-6.490976410973699,-8.523572798380277,-7.837028045079461,-7.933796874815411,-8.55756708555451
コネクティビティー・ファンデーション,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
ツアー,-6.319295660424764,-6.616734305264842,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.864419904994565
下級生,-8.717190933223135,-7.715346593932951,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
ヌーボー,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-6.94812917312041
ぐり,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.458954796886401
ウェディング,-6.925431463995079,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-5.844597880389255,-8.626944055375356,-8.55756708555451
渾身,-8.717190933223135,-8.408493774492896,-7.676473646389156,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
適正,-8.717190933223135,-8.408493774492896,-7.676473646389156,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.528331766707247,-8.55756708555451
ナレーター,-8.02404375266319,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.528331766707247,-8.55756708555451
駅,-7.618578644555025,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-7.837028045079461,-8.626944055375356,-8.55756708555451
インストア,-8.02404375266319,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
金箔,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-7.837028045079461,-8.626944055375356,-7.864419904994565
小鳥,-8.717190933223135,-8.408493774492896,-7.676473646389156,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
ツヤ,-8.717190933223135,-8.408493774492896,-7.271008538280992,-8.282735880201754,-8.523572798380277,-7.143880864519516,-7.933796874815411,-8.55756708555451
静岡県御殿場市,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
中止,-6.414605840229089,-7.715346593932951,-8.369620826949102,-6.896441519081864,-7.1372784372603855,-8.935640333747571,-7.933796874815411,-8.55756708555451
みこ,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
手本,-8.02404375266319,-7.715346593932951,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
直径,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-7.933796874815411,-8.55756708555451
ハングル,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-6.220987705386231,-8.935640333747571,-8.626944055375356,-8.55756708555451
残酷,-8.02404375266319,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
免許,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-6.738415756411351,-8.626944055375356,-8.55756708555451
選手村,-8.717190933223135,-7.3098814858247865,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
非モテ,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
IPATH,-8.717190933223135,-8.408493774492896,-7.676473646389156,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-8.55756708555451
マンション,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-8.626944055375356,-8.55756708555451
アーモンドミルク,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.864419904994565
シナモン,-7.618578644555025,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-8.626944055375356,-7.17127272443462
一生,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.242493153187626,-7.933796874815411,-8.55756708555451
リーディング,-8.717190933223135,-8.408493774492896,-8.369620826949102,-8.282735880201754,-8.523572798380277,-8.935640333747571,-7.933796874815411,-8.55756708555451
